NRO_RADICADO;FECHA_ACCIDENTE;HORA_ACCIDENTE;Día de la semana;AÑO;MES;CLASE_VEHICULO;TIPO_SERVICIO;TIPO_VICTIMA;EDAD;GENERO;GRAVEDAD;ESTADO_BEODEZ;ESTADO_DROGA;RESULTADO_BEODEZ;RESUL_BEODEZ_GRAMOS;DIRECCION_CARACT_VIA;TRAMO_VIA;LOCALIDAD_O_COMUNA;    GEORREFERENCIACIÓN;DESC_CLASE_ACCIDENTE;DESC_CHOQUE_ACCIDENTE;DESC_OBJETO_FIJO;DESC_SECTOR_ACCIDENTE;CONDICION_CLIMATICA;CAUSA_ACCIDENTE
2180034;5/01/2018;1:00:00 p. m.;Viernes;2018;Enero;MOTOCICLETA;PARTICULAR;Peaton;65;FEMENINO;HERIDOS;0;0;0;0;CARRERA 24 E # 40 SUR 96;;EL SALADO;6.150143067226524, -75.57903703391639;ATROPELLO;NO REPORTADO;NO REPORTADO;RESIDENCIAL;Normal;Exceso de velocidad
2180035;8/01/2018;9:20:00 a. m.;Lunes;2018;Enero;BICICLETA;PARTICULAR;Ciclista;55;MASCULINO;HERIDOS;0;0;0;0;CARRERA 43 A CALLE 45 SUR;;LA PAZ;6.164843128924306, -75.59421879013185;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;Semaforo en rojo
2180036;9/01/2018;10:10:00 p. m.;Martes;2018;Enero;BUS;PUBLICO;Pasajero;37;MASCULINO;HERIDOS;0;0;0;0;CARRERA 50 CALLE 37 SUR;;LAS VEGAS;6.175135, -75.595369;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Lluvia;Adelantar cerrando  -  Adelantar por la derecha
2180037;9/01/2018;6:30:00 a. m.;Martes;2018;Enero;MOTOCICLETA;PARTICULAR;Motociclista;23;FEMENINO;HERIDOS;0;0;0;0;CARRERA 50 CALLE 39 SUR;;LAS VEGAS;6.173831, -75.597143;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Lluvia;Transitar entre vehiculos
2180043;9/01/2018;7:45:00 a. m.;Martes;2018;Enero;MOTOCICLETA;PARTICULAR;Motociclista;30;FEMENINO;HERIDOS;0;0;0;0;CALLE 46 D SUR CARRERA 42 D;;LA PAZ;6.161510465921735, -75.5958292050804;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;Desobedecer señales
2180043;9/01/2018;7:45:00 a. m.;Martes;2018;Enero;MOTOCICLETA;OFICIAL;Motociclista;35;MASCULINO;HERIDOS;0;0;0;0;CALLE 46 D SUR CARRERA 42 D;;LA PAZ;6.161510465921735, -75.5958292050804;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;Desobedecer señales
2180044;11/01/2018;10:40:00 a. m.;Jueves;2018;Enero;CAMION;PUBLICO;Peaton;34;MASCULINO;HERIDOS;0;0;0;0;CALLE 36 SUR CARRERA 27;;LA INMACULADA;6.167093131972579, -75.5693685981976;ATROPELLO;NO REPORTADO;NO REPORTADO;RESIDENCIAL;Normal;Impericia en el manejo
2180054;11/01/2018;9:04:00 p. m.;Jueves;2018;Enero;BICICLETA;PARTICULAR;Ciclista;16;MASCULINO;MUERTOS;0;0;0;0;CALLE 36 D SUR  # 24-35;;VEREDA EL ESCOBERO;6.154654, -75.566695;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;Impericia en el manejo
2180062;13/01/2018;1:10:00 p. m.;Sábado;2018;Enero;MOTOCICLETA;PARTICULAR;Motociclista;20;MASCULINO;HERIDOS;0;0;0;0;KILOMETRO 6 +300;el escobero - km 0-13);VEREDA EL ESCOBERO;6.120051476749055, -75.54380052929696;CHOQUE;VEHICULO;NO REPORTADO;NO REPORTADO;Normal;Transitar en contravia
2180062;13/01/2018;1:10:00 p. m.;Sábado;2018;Enero;MOTOCICLETA;PARTICULAR;Acompañante;32;MASCULINO;HERIDOS;0;0;0;0;KILOMETRO 6 +300;el escobero - km 0-13);VEREDA EL ESCOBERO;6.120051476749055, -75.54380052929696;CHOQUE;VEHICULO;NO REPORTADO;NO REPORTADO;Normal;Transitar en contravia
2180064;11/01/2018;6:00:00 p. m.;Jueves;2018;Enero;MOTOCICLETA;PARTICULAR;Acompañante;11;FEMENINO;HERIDOS;0;0;0;0;CARRERA 48 CALLE 36 A SUR ;;EL PORTAL;6.1739752043210965, -75.59198904218593;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;Adelantar por la derecha
2180065;13/01/2018;11:00:00 p. m.;Sábado;2018;Enero;MOTOCICLETA;PARTICULAR;Motociclista;22;MASCULINO;HERIDOS;0;0;0;0;CARRERA 27 B # 39 A 57;;SAN JOSE;6.160336296401594, -75.57594376275209;CAIDA OCUPANTE;NO REPORTADO;NO REPORTADO;RESIDENCIAL;Normal;Impericia en el manejo
2180066;11/01/2018;4:40:00 p. m.;Jueves;2018;Enero;AUTOMOVIL;DIPLOMATICO;Peaton;67;FEMENINO;HERIDOS;0;0;0;0;CALLE 39 SUR # 31 -42;;MESA;6.171167818611337, -75.59268847086084;ATROPELLO;NO REPORTADO;NO REPORTADO;RESIDENCIAL;Normal;Cruzar sin observar
2180067;12/01/2018;2:30:00 p. m.;Viernes;2018;Enero;BUSETA;PUBLICO;Pasajero;48;FEMENINO;HERIDOS;0;0;0;0;CALLE 38 SUR # 43-33;;ZONA CENTRO;6.1701956436010335, -75.5880581381545;CAIDA OCUPANTE;NO REPORTADO;NO REPORTADO;RESIDENCIAL;Normal;Arrancar sin precaucion
2180068;12/01/2018;4:50:00 p. m.;Viernes;2018;Enero;MOTOCICLETA;OFICIAL;Acompañante;38;FEMENINO;HERIDOS;0;0;0;0;KILOMETRO 0+650;el escobero - km 0-13);VEREDA EL ESCOBERO;6.148008350163916, -75.56155548360533;CAIDA OCUPANTE;NO REPORTADO;NO REPORTADO;NO REPORTADO;Normal;Impericia en el manejo  -  Superficie lisa
2180069;13/01/2018;12:50:00 p. m.;Sábado;2018;Enero;MOTOCICLETA;PARTICULAR;Motociclista;30;MASCULINO;HERIDOS;0;0;0;0;CARRERA 42 CALLE 33 B SUR;;ZONA CENTRO;6.172612860004692, -75.58555464780304;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;Desobedecer señales
2180100;15/01/2018;7:30:00 a. m.;Lunes;2018;Enero;MOTOCICLETA;PARTICULAR;Peaton;78;MASCULINO;HERIDOS;0;0;0;0;CARRERA 43 CLL 36 SUR;;ZONA CENTRO;6.171540426967832, -75.58712719343858;ATROPELLO;NO REPORTADO;NO REPORTADO;RESIDENCIAL;Normal;Cruzar sin observar
2180101;11/01/2018;11:45:00 a. m.;Jueves;2018;Enero;AUTOMOVIL;PARTICULAR;Peaton;28;FEMENINO;HERIDOS;0;0;0;0;CARRERA 43 A CLL 38  A SUR;;ZONA CENTRO;6.169438361004396, -75.58843220878197;ATROPELLO;NO REPORTADO;NO REPORTADO;RESIDENCIAL;Normal;Cruzar sin observar
2180104;12/01/2018;8:00:00 a. m.;Viernes;2018;Enero;CAMION;PUBLICO;Acompañante;20;MASCULINO;HERIDOS;0;0;0;0;KILOMETRO 14+140;retiro varia palmas enviga (km 5+43 - km 14+ 550);VEREDA PALMAS;6.155873731543431, -75.53237755572034;VOLCAMIENTO;NO REPORTADO;NO REPORTADO;NO REPORTADO;Normal;Impericia en el manejo
2180107;11/01/2018;8:10:00 p. m.;Jueves;2018;Enero;MOTOCICLETA;PARTICULAR;Motociclista;33;MASCULINO;HERIDOS;0;0;0;0;CARRERA 50 CON CALLE 30 SUR;;LAS VEGAS;6.180427, -75.590467;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;Transitar entre vehiculos
2180107;11/01/2018;8:10:00 p. m.;Jueves;2018;Enero;MOTOCICLETA;PARTICULAR;Acompañante;47;FEMENINO;HERIDOS;0;0;0;0;CARRERA 50 CON CALLE 30 SUR;;LAS VEGAS;6.180427, -75.590467;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;Transitar entre vehiculos
2180109;16/01/2018;8:30:00 a. m.;Martes;2018;Enero;MOTOCICLETA;PARTICULAR;Motociclista;43;FEMENINO;HERIDOS;0;0;0;0;CALLE 30 SUR CARRERA 46A;;JARDINES;6.178681011999083, -75.58728341045207;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;No mantener distancia de seguridad
2180112;15/01/2018;4:31:00 p. m.;Lunes;2018;Enero;MOTOCICLETA;PARTICULAR;Peaton;58;FEMENINO;HERIDOS;0;0;0;0;CALLE 38 SUR #45 A 87;;ALCALA;6.171498126943029, -75.5904025185728;ATROPELLO;NO REPORTADO;NO REPORTADO;RESIDENCIAL;Normal;Cruzar sin observar  -  No respetar prelacion
